field_name,allowed_value
human_buyer_decision,BUY_AS_BRAIN_SUGGESTED
human_buyer_decision,BUY_AS_GOVERNED_SUGGESTED
human_buyer_decision,BUY_DIFFERENT_QUANTITY
human_buyer_decision,NO_BUY_RUN_DOWN
human_buyer_decision,HOLD
human_buyer_decision,BLOCKED_DATA_QUALITY
human_buyer_decision,SUPPLIER_UNAVAILABLE
human_buyer_decision,OTHER
lesson_learned_label,reference_only
lesson_learned_label,BRAIN_RIGHT_HUMAN_RIGHT
lesson_learned_label,BRAIN_RIGHT_HUMAN_WRONG
lesson_learned_label,BRAIN_WRONG_HUMAN_RIGHT
lesson_learned_label,BOTH_WRONG
lesson_learned_label,DATA_QUALITY_BLOCKED_LEARNING
lesson_learned_label,INSUFFICIENT_OUTCOME_SIGNAL
lesson_learned_label,CENSORED_BY_STOCKOUT
lesson_learned_label,SUPPLIER_FAILURE
lesson_learned_label,BASKET_TRUST_SIGNAL_CONFIRMED
lesson_learned_label,LONG_TAIL_PROTECTION_CONFIRMED
lesson_learned_label,OVERSTOCK_RUN_DOWN_CONFIRMED
