path,file_type,purpose_guess,current_use,keep_archive_rewrite_delete_candidate,notes
promotions/772/predictions/shadow_review_20260622_phase4b13/00_READ_ME_SHADOW_NOT_PRODUCTION.md,.md,shadow human review delivery pack,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/01_MANAGER_ACTIONS_SHADOW.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/02_ADDED_BUYS_REVIEW.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/03_REMOVED_BUYS_REVIEW.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/04_TINY_DEMAND_BUYS_REVIEW.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/05_STOCK_BASIS_REVIEW.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/06_HIGH_CONFIDENCE_BUYS.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/07_LOW_CONFIDENCE_BUYS.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/08_OPERATOR_DECISION_SHEET.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/09_SUMMARY_METRICS.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/10_AUDIT_CAPS_AND_WARNINGS.csv,.csv,shadow review artifact,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/11_OPERATOR_FEEDBACK_INSTRUCTIONS.md,.md,shadow human review delivery pack,historical/shadow,archive,
promotions/772/predictions/shadow_review_20260622_phase4b13/12_OPERATOR_FEEDBACK_SCHEMA.csv,.csv,shadow review artifact,historical/shadow,archive,
